2015-12-04 16:15:02 install libselinux1:amd64 <none> 2.3-2
2015-12-04 16:15:02 status half-installed libselinux1:amd64 2.3-2
2015-12-04 16:15:02 status unpacked libselinux1:amd64 2.3-2
2015-12-04 16:15:03 status unpacked libselinux1:amd64 2.3-2
2015-12-04 16:15:03 install libsemanage-common:all <none> 2.3-1build1
2015-12-04 16:15:03 status half-installed libsemanage-common:all 2.3-1build1
2015-12-04 16:15:03 status unpacked libsemanage-common:all 2.3-1build1
2015-12-04 16:15:03 status unpacked libsemanage-common:all 2.3-1build1
2015-12-04 16:15:03 install libsemanage1:amd64 <none> 2.3-1build1
2015-12-04 16:15:03 status half-installed libsemanage1:amd64 2.3-1build1
2015-12-04 16:15:03 status unpacked libsemanage1:amd64 2.3-1build1
2015-12-04 16:15:03 status unpacked libsemanage1:amd64 2.3-1build1
2015-12-04 16:15:04 install libsepol1:amd64 <none> 2.3-2
2015-12-04 16:15:04 status half-installed libsepol1:amd64 2.3-2
2015-12-04 16:15:04 status unpacked libsepol1:amd64 2.3-2
2015-12-04 16:15:04 status unpacked libsepol1:amd64 2.3-2
2015-12-04 16:15:04 install libslang2:amd64 <none> 2.3.0-2ubuntu1
2015-12-04 16:15:04 status half-installed libslang2:amd64 2.3.0-2ubuntu1
2015-12-04 16:15:04 status unpacked libslang2:amd64 2.3.0-2ubuntu1
2015-12-04 16:15:04 status unpacked libslang2:amd64 2.3.0-2ubuntu1
2015-12-04 16:15:04 install libsmartcols1:amd64 <none> 2.25.2-4ubuntu2
2015-12-04 16:15:04 status half-installed libsmartcols1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:05 status unpacked libsmartcols1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:05 status unpacked libsmartcols1:amd64 2.25.2-4ubuntu2
2015-12-04 16:15:05 install libss2:amd64 <none> 1.42.12-1ubuntu2
2015-12-04 16:15:05 status half-installed libss2:amd64 1.42.12-1ubuntu2
2015-12-04 16:15:05 status unpacked libss2:amd64 1.42.12-1ubuntu2
2015-12-04 16:15:05 status unpacked libss2:amd64 1.42.12-1ubuntu2
2015-12-04 16:15:05 install libsystemd0:amd64 <none> 219-7ubuntu3
2015-12-04 16:15:05 status half-installed libsystemd0:amd64 219-7ubuntu3
2015-12-04 16:15:06 status unpacked libsystemd0:amd64 219-7ubuntu3
2015-12-04 16:15:06 status unpacked libsystemd0:amd64 219-7ubuntu3
2015-12-04 16:15:06 install libtinfo5:amd64 <none> 5.9+20140712-2ubuntu2
2015-12-04 16:15:06 status half-installed libtinfo5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:15:06 status unpacked libtinfo5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:15:06 status unpacked libtinfo5:amd64 5.9+20140712-2ubuntu2
2015-12-04 16:15:06 install libudev1:amd64 <none> 219-7ubuntu3
2015-12-04 16:15:06 status half-installed libudev1:amd64 219-7ubuntu3
2015-12-04 16:15:06 status unpacked libudev1:amd64 219-7ubuntu3
2015-12-04 16:15:06 status unpacked libudev1:amd64 219-7ubuntu3
2015-12-04 16:15:07 install libustr-1.0-1:amd64 <none> 1.0.4-3ubuntu2
2015-12-04 16:15:07 status half-installed libustr-1.0-1:amd64 1.0.4-3ubuntu2
2015-12-04 16:15:07 status unpacked libustr-1.0-1:amd64 1.0.4-3ubuntu2
2015-12-04 16:15:07 status unpacked libustr-1.0-1:amd64 1.0.4-3ubuntu2
